starttime	seconds	ctime	dtime	ttime	wait
Sat May 13 15:50:30 2017	1494715830	0	56	56	56
Sat May 13 15:50:29 2017	1494715829	0	56	56	56
Sat May 13 15:50:44 2017	1494715844	0	56	56	56
Sat May 13 15:50:29 2017	1494715829	0	56	56	56
Sat May 13 15:50:41 2017	1494715841	0	56	56	56
Sat May 13 15:50:26 2017	1494715826	0	56	56	56
Sat May 13 15:50:29 2017	1494715829	0	56	56	56
Sat May 13 15:50:22 2017	1494715822	0	56	56	56
Sat May 13 15:50:26 2017	1494715826	0	56	56	56
Sat May 13 15:50:50 2017	1494715850	0	56	56	56
Sat May 13 15:50:39 2017	1494715839	0	56	56	56
Sat May 13 15:50:31 2017	1494715831	0	56	56	56
Sat May 13 15:50:40 2017	1494715840	0	56	56	56
Sat May 13 15:50:20 2017	1494715820	0	56	57	56
Sat May 13 15:50:21 2017	1494715821	0	56	57	56
Sat May 13 15:50:34 2017	1494715834	0	57	57	56
Sat May 13 15:50:49 2017	1494715849	0	57	57	57
Sat May 13 15:50:39 2017	1494715839	0	57	57	57
Sat May 13 15:50:24 2017	1494715824	0	57	57	57
Sat May 13 15:50:22 2017	1494715822	0	57	57	57
Sat May 13 15:50:19 2017	1494715819	0	57	57	57
Sat May 13 15:50:50 2017	1494715850	0	57	57	57
Sat May 13 15:50:20 2017	1494715820	0	57	57	57
Sat May 13 15:50:29 2017	1494715829	0	57	57	57
Sat May 13 15:50:16 2017	1494715816	0	57	57	57
Sat May 13 15:50:24 2017	1494715824	0	57	57	57
Sat May 13 15:50:44 2017	1494715844	0	57	57	57
Sat May 13 15:50:39 2017	1494715839	0	57	57	57
Sat May 13 15:50:28 2017	1494715828	0	57	57	57
Sat May 13 15:50:21 2017	1494715821	0	57	57	57
Sat May 13 15:50:23 2017	1494715823	0	57	57	57
Sat May 13 15:50:21 2017	1494715821	0	57	57	57
Sat May 13 15:50:41 2017	1494715841	0	57	57	57
Sat May 13 15:50:34 2017	1494715834	0	57	57	57
Sat May 13 15:50:48 2017	1494715848	0	57	57	57
Sat May 13 15:50:20 2017	1494715820	0	57	57	57
Sat May 13 15:50:15 2017	1494715815	0	57	57	57
Sat May 13 15:50:17 2017	1494715817	0	57	57	57
Sat May 13 15:50:31 2017	1494715831	0	57	57	57
Sat May 13 15:50:30 2017	1494715830	0	57	57	57
Sat May 13 15:50:18 2017	1494715818	0	57	57	57
Sat May 13 15:50:34 2017	1494715834	0	57	57	57
Sat May 13 15:50:28 2017	1494715828	0	57	57	57
Sat May 13 15:50:27 2017	1494715827	0	57	57	57
Sat May 13 15:50:32 2017	1494715832	0	57	57	57
Sat May 13 15:50:26 2017	1494715826	0	57	57	57
Sat May 13 15:50:28 2017	1494715828	0	57	57	57
Sat May 13 15:50:24 2017	1494715824	0	57	57	57
Sat May 13 15:50:44 2017	1494715844	0	57	57	57
Sat May 13 15:50:20 2017	1494715820	0	57	57	57
Sat May 13 15:50:28 2017	1494715828	0	57	57	57
Sat May 13 15:50:50 2017	1494715850	0	57	57	57
Sat May 13 15:50:29 2017	1494715829	0	57	57	57
Sat May 13 15:50:18 2017	1494715818	0	57	57	57
Sat May 13 15:50:21 2017	1494715821	0	57	58	57
Sat May 13 15:50:29 2017	1494715829	0	57	58	57
Sat May 13 15:50:45 2017	1494715845	0	58	58	57
Sat May 13 15:50:50 2017	1494715850	0	58	58	58
Sat May 13 15:50:14 2017	1494715814	0	58	58	57
Sat May 13 15:50:24 2017	1494715824	0	58	58	57
Sat May 13 15:50:28 2017	1494715828	0	58	58	57
Sat May 13 15:50:16 2017	1494715816	0	58	58	58
Sat May 13 15:50:29 2017	1494715829	0	58	58	57
Sat May 13 15:50:40 2017	1494715840	0	58	58	58
Sat May 13 15:50:33 2017	1494715833	0	58	58	57
Sat May 13 15:50:39 2017	1494715839	0	58	58	58
Sat May 13 15:50:25 2017	1494715825	0	58	58	58
Sat May 13 15:50:34 2017	1494715834	0	58	58	58
Sat May 13 15:50:35 2017	1494715835	0	58	58	57
Sat May 13 15:50:32 2017	1494715832	0	58	58	58
Sat May 13 15:50:23 2017	1494715823	0	58	58	58
Sat May 13 15:50:19 2017	1494715819	0	58	58	58
Sat May 13 15:50:34 2017	1494715834	0	58	58	58
Sat May 13 15:50:29 2017	1494715829	0	58	58	58
Sat May 13 15:50:49 2017	1494715849	0	58	58	58
Sat May 13 15:50:29 2017	1494715829	0	58	58	58
Sat May 13 15:50:46 2017	1494715846	0	58	58	58
Sat May 13 15:50:48 2017	1494715848	0	58	58	58
Sat May 13 15:50:44 2017	1494715844	0	58	58	58
Sat May 13 15:50:20 2017	1494715820	0	58	58	58
Sat May 13 15:50:40 2017	1494715840	0	58	58	58
Sat May 13 15:50:33 2017	1494715833	0	58	58	58
Sat May 13 15:50:27 2017	1494715827	0	58	58	58
Sat May 13 15:50:35 2017	1494715835	0	58	58	58
Sat May 13 15:50:20 2017	1494715820	0	58	58	58
Sat May 13 15:50:19 2017	1494715819	0	58	58	58
Sat May 13 15:50:18 2017	1494715818	0	58	58	58
Sat May 13 15:50:23 2017	1494715823	0	58	58	58
Sat May 13 15:50:32 2017	1494715832	0	58	58	58
Sat May 13 15:50:45 2017	1494715845	0	58	58	58
Sat May 13 15:50:44 2017	1494715844	0	58	58	58
Sat May 13 15:50:15 2017	1494715815	0	58	58	58
Sat May 13 15:50:21 2017	1494715821	0	58	58	58
Sat May 13 15:50:15 2017	1494715815	0	58	58	58
Sat May 13 15:50:40 2017	1494715840	0	58	58	58
Sat May 13 15:50:17 2017	1494715817	0	58	58	58
Sat May 13 15:50:42 2017	1494715842	0	58	58	58
Sat May 13 15:50:45 2017	1494715845	0	58	58	58
Sat May 13 15:50:25 2017	1494715825	0	58	58	58
Sat May 13 15:50:47 2017	1494715847	0	58	58	58
Sat May 13 15:50:25 2017	1494715825	0	58	58	58
Sat May 13 15:50:30 2017	1494715830	0	58	58	58
Sat May 13 15:50:40 2017	1494715840	0	58	58	58
Sat May 13 15:50:50 2017	1494715850	0	58	58	58
Sat May 13 15:50:24 2017	1494715824	0	58	58	58
Sat May 13 15:50:49 2017	1494715849	0	58	58	58
Sat May 13 15:50:38 2017	1494715838	0	58	58	58
Sat May 13 15:50:15 2017	1494715815	0	58	58	58
Sat May 13 15:50:29 2017	1494715829	0	58	58	58
Sat May 13 15:50:39 2017	1494715839	0	58	58	58
Sat May 13 15:50:44 2017	1494715844	0	58	58	58
Sat May 13 15:50:34 2017	1494715834	0	58	58	58
Sat May 13 15:50:33 2017	1494715833	0	58	58	58
Sat May 13 15:50:49 2017	1494715849	0	58	58	58
Sat May 13 15:50:23 2017	1494715823	0	58	58	58
Sat May 13 15:50:19 2017	1494715819	0	58	58	58
Sat May 13 15:50:44 2017	1494715844	0	58	58	58
Sat May 13 15:50:20 2017	1494715820	0	58	58	58
Sat May 13 15:50:16 2017	1494715816	0	58	58	58
Sat May 13 15:50:45 2017	1494715845	0	58	58	58
Sat May 13 15:50:18 2017	1494715818	0	58	58	58
Sat May 13 15:50:30 2017	1494715830	0	58	58	58
Sat May 13 15:50:39 2017	1494715839	0	58	58	58
Sat May 13 15:50:34 2017	1494715834	0	58	58	58
Sat May 13 15:50:18 2017	1494715818	0	58	58	58
Sat May 13 15:50:40 2017	1494715840	0	58	58	58
Sat May 13 15:50:19 2017	1494715819	0	58	58	58
Sat May 13 15:50:50 2017	1494715850	0	58	58	58
Sat May 13 15:50:39 2017	1494715839	0	58	58	58
Sat May 13 15:50:20 2017	1494715820	0	58	58	58
Sat May 13 15:50:29 2017	1494715829	0	58	58	58
Sat May 13 15:50:39 2017	1494715839	0	58	58	58
Sat May 13 15:50:35 2017	1494715835	0	58	58	58
Sat May 13 15:50:46 2017	1494715846	0	58	58	58
Sat May 13 15:50:23 2017	1494715823	0	58	58	58
Sat May 13 15:50:46 2017	1494715846	0	58	58	58
Sat May 13 15:50:40 2017	1494715840	0	58	58	58
Sat May 13 15:50:25 2017	1494715825	0	58	58	58
Sat May 13 15:50:30 2017	1494715830	0	58	58	58
Sat May 13 15:50:34 2017	1494715834	0	58	58	58
Sat May 13 15:50:20 2017	1494715820	0	58	58	58
Sat May 13 15:50:50 2017	1494715850	0	58	58	58
Sat May 13 15:50:31 2017	1494715831	0	58	58	58
Sat May 13 15:50:30 2017	1494715830	0	58	58	58
Sat May 13 15:50:21 2017	1494715821	0	58	58	58
Sat May 13 15:50:29 2017	1494715829	0	58	58	58
Sat May 13 15:50:37 2017	1494715837	0	58	58	58
Sat May 13 15:50:18 2017	1494715818	0	58	58	58
Sat May 13 15:50:22 2017	1494715822	0	58	58	58
Sat May 13 15:50:45 2017	1494715845	0	58	58	58
Sat May 13 15:50:29 2017	1494715829	0	58	59	58
Sat May 13 15:50:15 2017	1494715815	0	58	59	58
Sat May 13 15:50:36 2017	1494715836	0	58	59	58
Sat May 13 15:50:24 2017	1494715824	0	59	59	58
Sat May 13 15:50:48 2017	1494715848	0	58	59	58
Sat May 13 15:50:29 2017	1494715829	0	59	59	58
Sat May 13 15:50:22 2017	1494715822	0	59	59	58
Sat May 13 15:50:29 2017	1494715829	0	59	59	58
Sat May 13 15:50:50 2017	1494715850	0	59	59	59
Sat May 13 15:50:47 2017	1494715847	0	59	59	58
Sat May 13 15:50:16 2017	1494715816	0	59	59	58
Sat May 13 15:50:47 2017	1494715847	0	59	59	59
Sat May 13 15:50:38 2017	1494715838	0	59	59	59
Sat May 13 15:50:18 2017	1494715818	0	59	59	58
Sat May 13 15:50:33 2017	1494715833	0	59	59	59
Sat May 13 15:50:24 2017	1494715824	0	59	59	59
Sat May 13 15:50:48 2017	1494715848	0	59	59	59
Sat May 13 15:50:24 2017	1494715824	0	59	59	59
Sat May 13 15:50:41 2017	1494715841	0	59	59	59
Sat May 13 15:50:25 2017	1494715825	0	59	59	59
Sat May 13 15:50:28 2017	1494715828	0	59	59	58
Sat May 13 15:50:16 2017	1494715816	0	59	59	58
Sat May 13 15:50:41 2017	1494715841	0	59	59	59
Sat May 13 15:50:24 2017	1494715824	0	59	59	59
Sat May 13 15:50:40 2017	1494715840	0	59	59	59
Sat May 13 15:50:30 2017	1494715830	0	59	59	59
Sat May 13 15:50:48 2017	1494715848	0	59	59	59
Sat May 13 15:50:49 2017	1494715849	0	59	59	59
Sat May 13 15:50:15 2017	1494715815	0	59	59	59
Sat May 13 15:50:14 2017	1494715814	0	59	59	59
Sat May 13 15:50:30 2017	1494715830	0	59	59	59
Sat May 13 15:50:43 2017	1494715843	0	59	59	59
Sat May 13 15:50:36 2017	1494715836	0	59	59	59
Sat May 13 15:50:30 2017	1494715830	0	59	59	59
Sat May 13 15:50:29 2017	1494715829	0	59	59	59
Sat May 13 15:50:50 2017	1494715850	0	59	59	59
Sat May 13 15:50:39 2017	1494715839	0	59	59	59
Sat May 13 15:50:48 2017	1494715848	0	59	59	59
Sat May 13 15:50:34 2017	1494715834	0	59	59	59
Sat May 13 15:50:33 2017	1494715833	0	59	59	59
Sat May 13 15:50:39 2017	1494715839	0	59	59	59
Sat May 13 15:50:38 2017	1494715838	0	59	59	59
Sat May 13 15:50:30 2017	1494715830	0	59	59	59
Sat May 13 15:50:22 2017	1494715822	0	59	59	59
Sat May 13 15:50:43 2017	1494715843	0	59	59	59
Sat May 13 15:50:43 2017	1494715843	0	59	59	59
Sat May 13 15:50:45 2017	1494715845	0	59	59	59
Sat May 13 15:50:45 2017	1494715845	0	59	59	59
Sat May 13 15:50:36 2017	1494715836	0	59	59	59
Sat May 13 15:50:17 2017	1494715817	0	59	59	59
Sat May 13 15:50:31 2017	1494715831	0	59	59	59
Sat May 13 15:50:33 2017	1494715833	0	59	59	59
Sat May 13 15:50:24 2017	1494715824	0	59	59	59
Sat May 13 15:50:45 2017	1494715845	0	59	59	59
Sat May 13 15:50:41 2017	1494715841	0	59	59	59
Sat May 13 15:50:24 2017	1494715824	0	59	59	59
Sat May 13 15:50:26 2017	1494715826	0	59	59	59
Sat May 13 15:50:38 2017	1494715838	0	59	59	59
Sat May 13 15:50:23 2017	1494715823	0	59	59	59
Sat May 13 15:50:30 2017	1494715830	0	59	59	59
Sat May 13 15:50:42 2017	1494715842	0	59	59	59
Sat May 13 15:50:23 2017	1494715823	0	59	59	59
Sat May 13 15:50:46 2017	1494715846	0	59	59	59
Sat May 13 15:50:43 2017	1494715843	0	59	59	59
Sat May 13 15:50:19 2017	1494715819	0	59	59	59
Sat May 13 15:50:29 2017	1494715829	0	59	59	59
Sat May 13 15:50:27 2017	1494715827	0	59	59	59
Sat May 13 15:50:15 2017	1494715815	0	59	59	59
Sat May 13 15:50:20 2017	1494715820	0	59	59	59
Sat May 13 15:50:30 2017	1494715830	0	59	59	59
Sat May 13 15:50:24 2017	1494715824	0	59	59	59
Sat May 13 15:50:34 2017	1494715834	0	59	59	59
Sat May 13 15:50:31 2017	1494715831	0	59	59	59
Sat May 13 15:50:32 2017	1494715832	0	59	59	59
Sat May 13 15:50:16 2017	1494715816	0	59	59	59
Sat May 13 15:50:21 2017	1494715821	0	59	59	59
Sat May 13 15:50:41 2017	1494715841	0	59	59	59
Sat May 13 15:50:23 2017	1494715823	0	59	59	59
Sat May 13 15:50:48 2017	1494715848	0	59	59	59
Sat May 13 15:50:40 2017	1494715840	0	59	59	59
Sat May 13 15:50:22 2017	1494715822	0	59	59	59
Sat May 13 15:50:39 2017	1494715839	0	59	59	59
Sat May 13 15:50:19 2017	1494715819	0	59	59	59
Sat May 13 15:50:38 2017	1494715838	0	59	59	59
Sat May 13 15:50:23 2017	1494715823	0	59	59	59
Sat May 13 15:50:45 2017	1494715845	0	59	59	59
Sat May 13 15:50:32 2017	1494715832	0	59	59	59
Sat May 13 15:50:48 2017	1494715848	0	59	59	59
Sat May 13 15:50:44 2017	1494715844	0	59	59	59
Sat May 13 15:50:49 2017	1494715849	0	59	59	59
Sat May 13 15:50:22 2017	1494715822	0	59	59	59
Sat May 13 15:50:39 2017	1494715839	0	59	59	59
Sat May 13 15:50:19 2017	1494715819	0	59	59	59
Sat May 13 15:50:33 2017	1494715833	0	59	59	59
Sat May 13 15:50:38 2017	1494715838	0	59	59	59
Sat May 13 15:50:26 2017	1494715826	0	59	59	59
Sat May 13 15:50:38 2017	1494715838	0	59	59	59
Sat May 13 15:50:19 2017	1494715819	0	59	59	59
Sat May 13 15:50:32 2017	1494715832	0	59	59	59
Sat May 13 15:50:19 2017	1494715819	0	59	59	59
Sat May 13 15:50:28 2017	1494715828	0	59	59	59
Sat May 13 15:50:15 2017	1494715815	0	59	59	59
Sat May 13 15:50:24 2017	1494715824	0	59	59	59
Sat May 13 15:50:33 2017	1494715833	0	59	59	59
Sat May 13 15:50:49 2017	1494715849	0	59	59	59
Sat May 13 15:50:28 2017	1494715828	0	59	59	59
Sat May 13 15:50:24 2017	1494715824	0	59	59	59
Sat May 13 15:50:34 2017	1494715834	0	59	59	59
Sat May 13 15:50:29 2017	1494715829	0	59	59	59
Sat May 13 15:50:47 2017	1494715847	0	59	59	59
Sat May 13 15:50:31 2017	1494715831	0	59	59	59
Sat May 13 15:50:22 2017	1494715822	0	59	59	59
Sat May 13 15:50:30 2017	1494715830	0	59	59	59
Sat May 13 15:50:15 2017	1494715815	0	59	59	59
Sat May 13 15:50:38 2017	1494715838	0	59	59	59
Sat May 13 15:50:48 2017	1494715848	0	59	59	59
Sat May 13 15:50:19 2017	1494715819	0	59	59	59
Sat May 13 15:50:39 2017	1494715839	0	59	59	59
Sat May 13 15:50:15 2017	1494715815	0	59	59	59
Sat May 13 15:50:20 2017	1494715820	0	59	59	59
Sat May 13 15:50:24 2017	1494715824	0	59	59	59
Sat May 13 15:50:30 2017	1494715830	0	59	59	59
Sat May 13 15:50:43 2017	1494715843	0	59	59	59
Sat May 13 15:50:24 2017	1494715824	0	59	59	59
Sat May 13 15:50:29 2017	1494715829	0	59	59	59
Sat May 13 15:50:18 2017	1494715818	0	59	59	59
Sat May 13 15:50:40 2017	1494715840	0	59	59	59
Sat May 13 15:50:38 2017	1494715838	0	59	59	59
Sat May 13 15:50:29 2017	1494715829	0	59	59	59
Sat May 13 15:50:49 2017	1494715849	0	59	59	59
Sat May 13 15:50:23 2017	1494715823	0	59	59	59
Sat May 13 15:50:48 2017	1494715848	0	59	59	59
Sat May 13 15:50:44 2017	1494715844	0	59	59	59
Sat May 13 15:50:18 2017	1494715818	0	59	59	59
Sat May 13 15:50:48 2017	1494715848	0	59	59	59
Sat May 13 15:50:16 2017	1494715816	0	59	59	59
Sat May 13 15:50:34 2017	1494715834	0	59	59	59
Sat May 13 15:50:49 2017	1494715849	0	59	59	59
Sat May 13 15:50:16 2017	1494715816	0	59	59	59
Sat May 13 15:50:28 2017	1494715828	0	59	59	59
Sat May 13 15:50:27 2017	1494715827	0	59	59	59
Sat May 13 15:50:14 2017	1494715814	0	59	59	59
Sat May 13 15:50:31 2017	1494715831	0	59	59	59
Sat May 13 15:50:39 2017	1494715839	0	59	59	59
Sat May 13 15:50:46 2017	1494715846	0	59	59	59
Sat May 13 15:50:42 2017	1494715842	0	59	59	59
Sat May 13 15:50:24 2017	1494715824	0	59	59	59
Sat May 13 15:50:15 2017	1494715815	0	59	59	59
Sat May 13 15:50:29 2017	1494715829	0	59	59	59
Sat May 13 15:50:31 2017	1494715831	0	59	59	59
Sat May 13 15:50:35 2017	1494715835	0	59	59	59
Sat May 13 15:50:24 2017	1494715824	0	59	59	59
Sat May 13 15:50:20 2017	1494715820	0	59	59	59
Sat May 13 15:50:38 2017	1494715838	0	59	60	59
Sat May 13 15:50:16 2017	1494715816	0	59	60	59
Sat May 13 15:50:46 2017	1494715846	0	59	60	59
Sat May 13 15:50:33 2017	1494715833	0	59	60	59
Sat May 13 15:50:17 2017	1494715817	0	59	60	59
Sat May 13 15:50:38 2017	1494715838	0	59	60	59
Sat May 13 15:50:19 2017	1494715819	0	59	60	59
Sat May 13 15:50:40 2017	1494715840	0	60	60	59
Sat May 13 15:50:41 2017	1494715841	0	60	60	59
Sat May 13 15:50:31 2017	1494715831	0	60	60	59
Sat May 13 15:50:42 2017	1494715842	0	59	60	59
Sat May 13 15:50:28 2017	1494715828	0	60	60	59
Sat May 13 15:50:49 2017	1494715849	0	60	60	59
Sat May 13 15:50:43 2017	1494715843	0	60	60	59
Sat May 13 15:50:16 2017	1494715816	0	60	60	59
Sat May 13 15:50:24 2017	1494715824	0	60	60	59
Sat May 13 15:50:18 2017	1494715818	0	60	60	59
Sat May 13 15:50:49 2017	1494715849	0	60	60	60
Sat May 13 15:50:30 2017	1494715830	0	60	60	59
Sat May 13 15:50:48 2017	1494715848	0	60	60	59
Sat May 13 15:50:39 2017	1494715839	0	60	60	60
Sat May 13 15:50:44 2017	1494715844	0	60	60	60
Sat May 13 15:50:24 2017	1494715824	0	60	60	60
Sat May 13 15:50:34 2017	1494715834	0	60	60	60
Sat May 13 15:50:25 2017	1494715825	0	60	60	60
Sat May 13 15:50:23 2017	1494715823	0	60	60	60
Sat May 13 15:50:50 2017	1494715850	0	60	60	60
Sat May 13 15:50:37 2017	1494715837	0	60	60	60
Sat May 13 15:50:43 2017	1494715843	0	60	60	60
Sat May 13 15:50:40 2017	1494715840	0	60	60	60
Sat May 13 15:50:49 2017	1494715849	0	60	60	60
Sat May 13 15:50:19 2017	1494715819	0	60	60	60
Sat May 13 15:50:37 2017	1494715837	0	60	60	60
Sat May 13 15:50:21 2017	1494715821	0	60	60	60
Sat May 13 15:50:18 2017	1494715818	0	60	60	60
Sat May 13 15:50:23 2017	1494715823	0	60	60	60
Sat May 13 15:50:31 2017	1494715831	0	60	60	60
Sat May 13 15:50:20 2017	1494715820	0	60	60	60
Sat May 13 15:50:25 2017	1494715825	0	60	60	60
Sat May 13 15:50:36 2017	1494715836	0	60	60	60
Sat May 13 15:50:43 2017	1494715843	0	60	60	60
Sat May 13 15:50:31 2017	1494715831	0	60	60	60
Sat May 13 15:50:44 2017	1494715844	0	60	60	60
Sat May 13 15:50:17 2017	1494715817	0	60	60	60
Sat May 13 15:50:17 2017	1494715817	0	60	60	60
